Face_to_Face,Prerequisite_2,Currency_Time,Course_Lang,Faculty,Availability,Offline,Prerequisite_2_grade_2,Level_Code,Part_Time,Duration_Time,Website,University,Full_Time,Description,Country,Distance,Duration,Int_Fees,Online,Prerequisite_1_grade_1,Prerequisite_1,Course,City,Currency,Blended,Remarks
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/commerce-and-finance-b2043?international=true,Monash University,Yes,"Why study Commerce and Finance? With Commerce, you'll learn to think conceptually and analytically and use data to make informed decisions. In Finance, you'll explore equities and investments, debt markets and fixed income securities, financial modelling and corporate and international finance.",Australia,No,4.0,"45,000",No,6.5,IELTS,Commerce and Finance,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/commerce-and-global-studies-b2006?international=true,Monash University,Yes,"Why study a double degree in Commerce and Global Studies? With Commerce, you’ll learn to think analytically and use data to make informed decisions and influence change. With Global Studies, you'll explore the drivers of social change. You can also study part of your course overseas.",Australia,No,4.0,"45,000",No,6.5,IELTS,Commerce and Global Studies,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Computer Science & Information Technology,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/commerce-and-information-technology-b2025?international=true,Monash University,Yes,"Why study a double degree in Commerce and Information Technology? With Commerce, you'll learn to think analytically and use data to make informed decisions and influence change. With Information Technology, you'll learn to drive innovation in the way people communicate, conduct business and experience the world.",Australia,No,4.0,"45,000",No,6.5,IELTS,Commerce and Information Technology,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/commerce-and-music-b2022?international=true,Monash University,Yes,"Why study a double degree in Commerce and Music? With Commerce, you'll learn to think conceptually and analytically and use data to make informed decisions. With Music, you’ll collaborate with international artists and learn from accomplished musicians.",Australia,No,4.0,"45,000",No,6.5,IELTS,Commerce and Music,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/commerce-and-science-b2023?international=true,Monash University,Yes,"Why study a double degree in Commerce and Science? In a Bachelor of Commerce, you'll learn to think analytically and use data to make informed decisions and influence change. In a Bachelor of Science, you can choose from more than 25 major and minor areas of study.",Australia,No,4.0,"45,000",No,6.5,IELTS,Commerce and Science,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Computer Science & Information Technology,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/computer-science-c2001?international=true,Monash University,Yes,"A Bachelor of Computer Science equips you to thrive in a diverse range of roles, from specialist programmer to forensic computer analyst. Guided by some of the greatest minds in the field, you’ll gain problem-solving, programming and analytical skills – and learn how to apply them in the real world.",Australia,No,3.0,"42,800",No,6.5,IELTS,Computer Science,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Computer Science & Information Technology,A,Yes,Year 12,BA,No,Year,https://www.monash.edu/study/courses/find-a-course/2021/computer-science-c3702?international=true,Monash University,Yes,"A Bachelor of Computer Science equips you to thrive in a diverse range of roles, from specialist programmer to forensic computer analyst. Guided by some of the greatest minds in the field, you’ll gain problem-solving, programming and analytical skills – and learn how to apply them in the real world.",Australia,No,1.0,"42,800",No,6.5,IELTS,Computer Science,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Computer Science & Information Technology,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/computer-science-advanced-c3001?international=true,Monash University,Yes,"The Bachelor of Computer Science Advanced (Honours) suits high achievers looking to enhance their research and programming skills – and gain hands-on experience. The course prepares you to fast track a masters, complete a PhD or pursue careers such as chief information officer and data architect.",Australia,No,4.0,"42,800",No,6.5,IELTS,Computer Science Advanced,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Law,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/criminology-a2008?international=true,Monash University,Yes,"In the Bachelor of Criminology at Monash, you’ll learn to identify credible evidence, understand how to measure and analyse the impact of policy, and develop solutions to real-world problems of crime and justice. Equip yourself with the skills and knowledge relevant to careers in Criminology.",Australia,No,3.0,"33,000",No,6.5,IELTS,Criminology,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Computer Science & Information Technology,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/criminology-and-information-technology-a2009?international=true,Monash University,Yes,"The Bachelor of Criminology and Bachelor of Information Technology double degree equips students with industry-relevant specialist skills to prepare for working and living in a world of constant technological, environmental, political and population change.",Australia,No,4.0,"42,800",No,6.5,IELTS,Criminology and Information Technology,Melbourne,AUD,No,
