Level_Code,University,City,Course,Faculty,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Website,Course_Lang,Availability,Description,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
BA,Monash University,Melbourne,Business and Media Communication,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/business-and-media-communication-b2028?international=true,English,A,"Why study Business and Media Communication? With Business, you'll explore a broad range of business disciplines - from finance and law to statistics and management. With Media Communication, you'll develop your practical experience and build a portfolio of media communication work.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Commerce,Business & Economics,"45,000",AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/commerce-b2001?international=true,English,A,"Commerce is an integral part of society. The Bachelor of Commerce explores how our desire to trade what we have for what we want has shaped how people and nations have interacted for millennia, and how global trade and digital disruption are fundamentally changing commerce in society.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Commerce,Business & Economics,"45,000",AUD,Years,1.0,Year,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/commerce-b3701?international=true,English,A,"Commerce is an integral part of society. The Bachelor of Commerce explores how our desire to trade what we have for what we want has shaped how people and nations have interacted for millennia, and how global trade and digital disruption are fundamentally changing commerce in society.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Commerce,Business & Economics,"45,000",AUD,Years,1.0,Year,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/commerce-b3701?international=true,English,A,"Commerce is an integral part of society. The Bachelor of Commerce explores how our desire to trade what we have for what we want has shaped how people and nations have interacted for millennia, and how global trade and digital disruption are fundamentally changing commerce in society.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Commerce and Actuarial Science,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/commerce-and-actuarial-science-b2030?international=true,English,A,"Why study a double degree in Commerce and Actuarial Science? In a Bachelor of Commerce, you'll learn to think conceptually, solve problems analytically and use data to make informed decisions. In a Bachelor of Actuarial Science, you'll use mathematics to help companies plan for the future.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Commerce and Arts,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/commerce-and-arts-b2020?international=true,English,A,"Why study a double degree in Commerce and Arts? With Commerce, you'll learn how to think conceptually, solve problems analytically and use data to make informed decisions. With Arts, you can choose from almost 40 major and minor areas of study and explore your passions and career goals.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Commerce and Biomedical Science,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/commerce-and-biomedical-science-b2021?international=true,English,A,"Why study a double degree in Commerce and Biomedical Science? With Commerce, you'll learn to think conceptually and analytically and use data to make informed decisions. With Biomedical Science, you'll study scientific breakthroughs that will shape the jobs of the future in rapidly growing fields.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Commerce and Computer Science,Computer Science & Information Technology,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/commerce-and-computer-science-b2008?international=true,English,A,"Why study Commerce and Computer Science? With Commerce, you'll learn to think conceptually and analytically and use data to make informed decisions. With Computer Science, you’ll learn about digital innovation, big data and computing and how to apply research and technology in a range of contexts.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Commerce and Economics,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/commerce-and-economics-b2032?international=true,English,A,"Why study a double degree in Commerce and Economics? With Commerce, you'll learn to think conceptually, solve problems analytically and use data to make informed decisions. With Economics, you'll explore how local, national and global economies function using the latest economic theories and tools.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Commerce and Finance,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/commerce-and-finance-b2043?international=true,English,A,"Why study Commerce and Finance? With Commerce, you'll learn to think conceptually and analytically and use data to make informed decisions. In Finance, you'll explore equities and investments, debt markets and fixed income securities, financial modelling and corporate and international finance.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Commerce and Global Studies,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/commerce-and-global-studies-b2006?international=true,English,A,"Why study a double degree in Commerce and Global Studies? With Commerce, you’ll learn to think analytically and use data to make informed decisions and influence change. With Global Studies, you'll explore the drivers of social change. You can also study part of your course overseas.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Commerce and Information Technology,Computer Science & Information Technology,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/commerce-and-information-technology-b2025?international=true,English,A,"Why study a double degree in Commerce and Information Technology? With Commerce, you'll learn to think analytically and use data to make informed decisions and influence change. With Information Technology, you'll learn to drive innovation in the way people communicate, conduct business and experience the world.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Commerce and Music,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/commerce-and-music-b2022?international=true,English,A,"Why study a double degree in Commerce and Music? With Commerce, you'll learn to think conceptually and analytically and use data to make informed decisions. With Music, you’ll collaborate with international artists and learn from accomplished musicians.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Commerce and Science,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/commerce-and-science-b2023?international=true,English,A,"Why study a double degree in Commerce and Science? In a Bachelor of Commerce, you'll learn to think analytically and use data to make informed decisions and influence change. In a Bachelor of Science, you can choose from more than 25 major and minor areas of study.",Australia,No,Yes,No,Yes,No,
